#,نام بازی,امتیاز,سطح,زمان,کاربر,نام کاربری,مدت(ثانیه),زمان واکنش(میلی ثانیه),جزئیات,پاسخ های درست,پاسخ های غلط,رشته درست و غلط,تنظیمات پیشرفته,پایان یافته,بیشتر
850118,بزرگراه,18500,22,8/7/2023 2:19:35 PM,1ac3985e-da13-4228-8ef5-1cff5009af62,Danial.zahed,90,"1720,4068,3405,4944,3364,3620,3198,3356,3505,2451,2616,1976,1951,1827,2259,1977,1095,1079,889,930,1041,961,904,947,1170,1073,1195,1005,996,805,1212,108,1453,1013,1247,904,963,947,798,1245,1361,631,1387,613,458,1552,2044,2051,2575,1354,2059,1197,937,879,1006","TFS:[TTTFTTTTTTTTTTTTFFTTTTTTTTTTFFTTTTTTTTTFFFFFFTTTFTTTTTT] RTS:[1718,4071,3405,4943,3364,3621,3198,3356,3498,2458,2616,1977,1952,1827,2260,1978,1095,1080,888,930,1040,961,905,947,1170,1072,1195,1000,1000,808,1211,109,1453,1013,1246,905,963,947,798,1245,1357,636,1383,618,457,1553,2043,2051,2575,1354,2060,1196,938,880,1005] HDS:[0O,0e,0O,0e,0O,1O,1e,1O,10,1O,2O,2e,2u,2u,2O,3f,39,3v,3v,3v,3v,3v,3v,3e,3f,3v,31,31,31,3v,31,38,38,3O,39,39,3f,3f,3e,3f,31,3v,31,39,3e,2u,2O,2O,20,2u,3v,39,3v,3f,3f] CHD:[4F92yeSaSC8S4yyum0SuWa0Gm0WOOmKq884aqyKKueOWCOSm40yyG00q08O0]",43,12,TTTFTTTTTTTTTTTTFFTTTTTTTTTTFFTTTTTTTTTFFFFFFTTTFTTTTTT,,TRUE,
850115,بزرگراه,12750,22,8/7/2023 2:17:47 PM,1ac3985e-da13-4228-8ef5-1cff5009af62,Danial.zahed,90,"2216,3870,3231,4096,3888,4144,3202,2613,3597,2658,2882,1885,2036,1676,2092,2368,996,1020,50,1654,1311,357,1596,1053,424,339,2882,1926,2385,2019,1751,931,1063,1154,1005,913,1261,998,249,1767,996,141,2377,2250,2085,2325,1911,1520","TFS:[FTTTTTTTTTTTTTTTFFFTFFTFFFTTTTTTTTTTFFFFFFTTTTTT] RTS:[2216,3871,3231,4095,3888,4145,3203,2612,3597,2658,2882,1886,2036,1677,2093,2362,1002,1017,53,1653,1312,357,1595,1047,431,340,2882,1926,2385,2018,1752,930,1063,1154,1005,913,1254,1000,254,1765,1000,141,2376,2251,2085,2326,1910,1520] HDS:[0e,0e,0u,0e,0e,1e,1e,1u,1O,18,28,2O,2e,2e,2O,31,39,31,3e,39,31,3e,3v,31,3u,2u,28,28,28,2e,3f,3f,39,3P,3f,3f,31,31,3e,31,21,2O,28,2e,2O,2e,2e,28] CHD:[E05BOqOqqqqOWiiGqK0CKaGSeS8miaSyi4q4S044WKu88CCKmqKiO]",33,15,FTTTTTTTTTTTTTTTFFFTFFTFFFTTTTTTTTTTFFFFFFTTTTTT,,TRUE,
850114,بزرگراه,13250,22,8/7/2023 2:15:54 PM,1ac3985e-da13-4228-8ef5-1cff5009af62,Danial.zahed,90,"2019,3169,4818,3414,3855,4567,2442,2973,2534,3555,3007,2134,1728,1880,2156,1637,963,1444,1088,1012,1082,487,1279,930,1072,1087,1039,1135,557,365,1943,1154,465,1554,1004,76,604,1852,1012,616,1834,1777,2260,1819,2367,1670,1146,939,1078,997,855,348,1636,1178,59","TFS:[TTTTTTTTFTTFTTTTTTTFFFTTTTFFFTFTTTTFFTFFTTFTTTTTFFTFFFT] RTS:[2017,3173,4818,3414,3854,4569,2442,2974,2533,3555,3007,2134,1728,1880,2157,1637,963,1444,1088,1013,1076,493,1279,930,1072,1087,1039,1136,556,365,1943,1153,466,1553,1000,80,605,1852,1013,616,1834,1778,2259,1819,2367,1669,1142,944,1076,1000,855,348,1637,1178,59] HDS:[0u,0u,0u,08,08,18,1e,1e,1u,18,2u,2O,2e,2u,28,38,38,3P,3f,3f,31,3O,3f,3f,39,3v,3P,31,38,3e,3f,31,3u,31,31,3O,3e,3u,3e,3u,2O,2O,2O,28,2O,3f,31,3f,31,31,3P,3e,3P,31,38] CHD:[E79000GyySO84SWCO0SCiqeaO8u8iWSKueWCGCSCSmWuaqSyquS8KmaqCuSS]",36,19,TTTTTTTTFTTFTTTTTTTFFFTTTTFFFTFTTTTFFTFFTTFTTTTTFFTFFFT,,TRUE,
850112,بزرگراه,12000,22,8/7/2023 2:14:10 PM,1ac3985e-da13-4228-8ef5-1cff5009af62,Danial.zahed,90,"2311,3842,3148,4262,4045,4376,2285,3455,2566,2808,3234,1983,2176,1835,2176,1713,1112,1147,24,1793,848,1368,93,1850,914,398,1569,1071,457,1214,1601,1611,2059,2259,1996,1493,1047,971,1054,1071,1287,1055,95,684,2019,1220,34,3262,1605,2018,1918","TFS:[TTTTTTTTTTFTTTTTFFFTTFTFFFFFFTTTTFTTTTTFFFFFTFTTTTT] RTS:[2308,3846,3148,4262,4045,4378,2284,3455,2567,2807,3233,1983,2176,1835,2176,1712,1112,1139,32,1793,847,1366,96,1851,914,398,1569,1072,456,1214,1602,1611,2060,2259,1995,1493,1047,971,1055,1071,1287,1049,102,684,2018,1214,40,3259,1608,2018,1918] HDS:[0u,0e,0e,0O,0e,1u,1u,1O,1e,1u,2O,2e,2O,2u,28,3f,3v,31,3O,39,3P,31,3u,39,3P,3e,3v,3P,38,38,2u,2e,28,28,28,3u,3u,38,3v,3f,39,31,3O,3e,39,21,2u,20,28,2O,39] CHD:[87D2GCCai0mqymuiK0eCqqeOK00ay0u8GeWye08GWuGKiSiGe4W8OKua]",33,18,TTTTTTTTTTFTTTTTFFFTTFTFFFFFFTTTTFTTTTTFFFFFTFTTTTT,,TRUE,
850108,بزرگراه,11750,22,8/7/2023 2:12:14 PM,1ac3985e-da13-4228-8ef5-1cff5009af62,Danial.zahed,90,"1862,3992,3870,3596,4728,3706,3191,2607,2957,2658,3563,438,2965,2193,1694,2348,1825,2048,1877,1969,2226,274,1670,1104,265,1737,2384,416,3132,2142,1794,1878,2284,2293,1594,2109,1154,707,257,1586,1462,913,1088,66,1952,48","TFS:[TTTTTTTTTTFFTTTTTTFTFFTFFTFFTTTTTTTFFFTTTTFFTF] RTS:[1860,3995,3871,3596,4727,3707,3190,2607,2957,2659,3562,439,2965,2193,1694,2347,1825,2049,1877,1969,2226,274,1669,1104,265,1736,2384,415,3132,2143,1794,1877,2284,2293,1594,2110,1148,712,257,1585,1463,913,1086,68,1951,50] HDS:[0e,0u,08,0O,08,18,1O,1u,1u,1O,20,2e,2u,2u,2e,28,2e,2u,28,2O,3f,3u,3P,3v,3e,2e,2O,2u,2O,2e,2e,2O,2e,2e,2e,3v,31,3P,3u,3u,31,3v,31,3O,31,38] CHD:[7D82umaiK4SGGy0CmGO4O0iyGaCKSeKui8Oie8eayGGWKWi04u]",31,15,TTTTTTTTTTFFTTTTTTFTFFTFFTFFTTTTTTTFFFTTTTFFTF,,TRUE,
850104,بزرگراه,9500,22,8/7/2023 2:10:21 PM,1ac3985e-da13-4228-8ef5-1cff5009af62,Danial.zahed,90,"1779,3792,4851,4461,2775,3928,4244,4461,3588,3854,3488,3646,2319,2914,3787,2409,2069,1967,1902,2127,1610,1275,363,1643,456,1927,1936,1684,2234,1935,1869,972,1071,356,1404,1145,441,1502,340,1778","TFS:[FTTFFTTTTTTTTTTFTTTTTFFFFTTTTTTTFFTFFFFT] RTS:[1776,3796,4852,4453,2782,3929,4245,4461,3588,3854,3489,3646,2319,2915,3788,2409,2068,1968,1902,2127,1611,1274,362,1645,456,1927,1937,1684,2234,1935,1869,972,1071,357,1404,1146,441,1503,340,1778] HDS:[0u,0u,0u,00,08,0e,0u,0e,0u,08,1u,1u,1u,1O,1u,2e,2e,28,2O,2u,3u,3P,38,3f,3u,2e,28,2O,2O,2u,3f,3f,39,3O,3O,3v,3e,39,3O,39] CHD:[82D7S4aCWSai48444G4uCumaa8mKGSe00KSimaWS0WqOu]",26,14,FTTFFTTTTTTTTTTFTTTTTFFFFTTTTTTTFFTFFFFT,,TRUE,
850100,ابرهای بارانی,10000,22,8/7/2023 2:08:35 PM,1ac3985e-da13-4228-8ef5-1cff5009af62,Danial.zahed,3,,TFS:[] RTS:[] HDS:[] CHD:[C1024601246024111602114610],0,0,,,TRUE,
850100,ابرهای بارانی,10000,22,8/7/2023 2:08:32 PM,1ac3985e-da13-4228-8ef5-1cff5009af62,Danial.zahed,17,"623,251,297,366,698,646,433,954","TFS:[TTTTTTFT] RTS:[623,252,297,365,697,647,434,953] HDS:[2,B,7,0,O,1,I,D] CHD:[C7777024760274760246024607]",7,1,TTTTTTFT,,FALSE,
850100,ابرهای بارانی,7400,23,8/7/2023 2:08:14 PM,1ac3985e-da13-4228-8ef5-1cff5009af62,Danial.zahed,18,"465,284,438,897,733,936,708,1096","TFS:[TTTTTTFF] RTS:[465,284,438,897,733,936,708,1095] HDS:[J,E,4,1,8,F,L,M] CHD:[00325346052460235460324650]",6,2,TTTTTTFF,,FALSE,
850100,ابرهای بارانی,5400,23,8/7/2023 2:07:56 PM,1ac3985e-da13-4228-8ef5-1cff5009af62,Danial.zahed,17,"568,237,342,604,716,531,540,415","TFS:[TTTTTFFT] RTS:[566,238,342,604,716,531,540,414] HDS:[9,3,O,6,0,K,G,8] CHD:[03027347637032460246024607]",6,2,TTTTTFFT,,FALSE,
